Timestamp,Pod1,Pod2,Pod3,Pod4,Pod5,Pod6,Pod7,Pod8
2025-05-16 15:35:01.889,-6,-1,-1,-1,-3,-3,-17,-3
2025-05-16 15:35:01.911,-24,-3,-2,-1,0,-3,1,-11
2025-05-16 15:35:01.923,-23,-3,0,0,-1,2,5,3
2025-05-16 15:35:01.937,9,3,0,0,-1,1,1,2
2025-05-16 15:35:01.951,22,-1,-1,-3,0,-3,-1,1
2025-05-16 15:35:01.965,-6,-2,0,-3,0,-6,-9,-1
2025-05-16 15:35:01.979,7,0,-2,0,-1,-11,-7,0
2025-05-16 15:35:01.992,3,-1,-1,-1,-4,-10,-36,-2
2025-05-16 15:35:02.013,3,-1,-1,-1,-4,-10,-36,-2
2025-05-16 15:35:02.025,3,-1,-1,-1,-4,-10,-36,-2
2025-05-16 15:35:02.035,9,2,3,0,0,3,3,3
2025-05-16 15:35:02.046,9,2,3,0,0,3,3,3
2025-05-16 15:35:02.059,3,-2,-1,1,-1,4,7,1
2025-05-16 15:35:02.070,-2,-2,-1,-2,-1,2,-3,-1
2025-05-16 15:35:02.085,7,-1,-2,-1,-2,-7,-13,-5
2025-05-16 15:35:02.098,19,-2,-1,-3,-1,6,9,-6
2025-05-16 15:35:02.113,-3,-3,-2,0,-1,-2,0,-4
2025-05-16 15:35:02.126,-3,-3,-2,0,-1,-2,0,-4
2025-05-16 15:35:02.147,-5,-2,0,-1,-2,-10,-18,0
2025-05-16 15:35:02.158,-5,-2,0,-1,-2,-10,-18,0
2025-05-16 15:35:02.172,-7,-2,-2,-2,-1,-1,7,3
2025-05-16 15:35:02.183,-7,-2,-2,-2,-1,-1,7,3
2025-05-16 15:35:02.196,-5,-1,1,0,-1,2,1,2
2025-05-16 15:35:02.219,20,0,-1,0,-2,-1,-3,1
2025-05-16 15:35:02.230,-13,0,-2,-2,0,5,2,4
2025-05-16 15:35:02.244,-13,0,-2,-2,0,5,2,4
2025-05-16 15:35:02.258,-2,0,-2,-2,-2,-3,-10,-4
2025-05-16 15:35:02.272,4,-2,-4,-3,0,14,41,4
2025-05-16 15:35:02.286,9,2,1,1,-1,-3,-5,9
2025-05-16 15:35:02.300,-7,-1,-3,-1,-3,2,19,-3
2025-05-16 15:35:02.314,2,-5,-2,-1,-3,-14,-19,-1
2025-05-16 15:35:02.328,2,-5,-2,-1,-3,-14,-19,-1
2025-05-16 15:35:02.339,2,-5,-2,-1,-3,-14,-19,-1
2025-05-16 15:35:02.350,2,-5,-2,-1,-3,-14,-19,-1
2025-05-16 15:35:02.372,0,-3,-1,-1,0,4,13,-3
2025-05-16 15:35:02.384,-4,-1,-2,0,1,-3,-14,-2
